wave,library,result_file,provider,provider_sha256,nid,catalog_name,requested_kind,status,match_count,symbol_name,symbol_address,symbol_type,symbol_source,function_entry,function_name,external,thunk,thunk_target,thunk_target_external,executable,body_min,body_max,body_addresses,instruction_count,body_sha256,entry_bytes,first_instruction,last_instruction
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,ls4jfY576lw,sceAgcDriverGetResourceUserData,function,defined_body,1,ls4jfY576lw#G#A,000072e0,Function,IMPORTED,000072e0,ls4jfY576lw#G#A,false,false,,,true,000072e0,000072e5,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,rJUyMrDdxJg,sceAgcDriverGetShaderDebuggingStatus,function,defined_body,1,rJUyMrDdxJg#G#A,00006ef0,Function,IMPORTED,00006ef0,rJUyMrDdxJg#G#A,false,false,,,true,00006ef0,00006ef5,6,2,2db31f4e09597946e56e859813bfdad7046d457c32332c3a882654d1e3ffdf67,b801000000c3cccccccccccccccccccce9cb360000cccccccccccccccccccccc,"MOV EAX,0x1",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,Ddwk4gLT5j0,sceAgcDriverIsCaptureInProgress,function,defined_body,1,Ddwk4gLT5j0#G#A,000080d0,Function,IMPORTED,000080d0,Ddwk4gLT5j0#G#A,false,false,,,true,000080d0,000080d2,3,2,251447ee91a9067dcd6ab96703133f617565974cd6c4819021760c4688c91abf,31c0c3cccccccccccccccccccccccccc31c0c3cccccccccccccccccccccccccc,"XOR EAX,EAX",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,qspAL8bgcBY,sceAgcDriverIsSubmitValidationEnabled,function,defined_body,1,qspAL8bgcBY#G#A,000080e0,Function,IMPORTED,000080e0,qspAL8bgcBY#G#A,false,false,,,true,000080e0,000080e2,3,2,251447ee91a9067dcd6ab96703133f617565974cd6c4819021760c4688c91abf,31c0c3ccccccccccccccccccccccccccb800106c8ac3cccccccccccccccccccc,"XOR EAX,EAX",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,+TN0oRTBxJQ,sceAgcDriverIsTraceInProgress,function,defined_body,1,+TN0oRTBxJQ#G#A,00006ee0,Function,IMPORTED,00006ee0,+TN0oRTBxJQ#G#A,false,false,,,true,00006ee0,00006ee2,3,2,251447ee91a9067dcd6ab96703133f617565974cd6c4819021760c4688c91abf,31c0c3ccccccccccccccccccccccccccb801000000c3cccccccccccccccccccc,"XOR EAX,EAX",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,emP3ckeS2uo,sceAgcDriverRegisterGdsResource,function,defined_body,1,emP3ckeS2uo#G#A,000071e0,Function,IMPORTED,000071e0,emP3ckeS2uo#G#A,false,false,,,true,000071e0,000071e5,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,3AyTaWcF-H8,sceAgcDriverRegisterWorkloadStream,function,defined_body,1,3AyTaWcF-H8#G#A,00000b00,Function,IMPORTED,00000b00,3AyTaWcF-H8#G#A,false,false,,,true,00000b00,00000ba1,162,45,8d53f23672a0e68cfa2f0225d6e34f5f65e3b7beade9f7ca05b020ba2a70ad28,554889e5415741564154534189ff41be33006c8a418d47e083f8e172798b052d,PUSH RBP,RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-01.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,SAfhzJPcjuk,sceAgcDriverRequestCaptureStart,function,defined_body,1,SAfhzJPcjuk#G#A,000080b0,Function,IMPORTED,000080b0,SAfhzJPcjuk#G#A,false,false,,,true,000080b0,000080b5,6,2,a45df15ac03ed51bc214fb03f5beecfc66b471bd491c2922752e8cec2509bad5,b800106c8ac3ccccccccccccccccccccb800106c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c1000",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-02.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,FOwvmNlFLjM,sceAgcDriverRequestCaptureStop,function,defined_body,1,FOwvmNlFLjM#G#A,000080c0,Function,IMPORTED,000080c0,FOwvmNlFLjM#G#A,false,false,,,true,000080c0,000080c5,6,2,a45df15ac03ed51bc214fb03f5beecfc66b471bd491c2922752e8cec2509bad5,b800106c8ac3cccccccccccccccccccc31c0c3cccccccccccccccccccccccccc,"MOV EAX,0x8a6c1000",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-02.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,MM4IZSEYytQ,sceAgcDriverSetHsOffchipParam,function,defined_body,1,MM4IZSEYytQ#G#A,000070b0,Function,IMPORTED,000070b0,MM4IZSEYytQ#G#A,false,false,,,true,000070b0,000070ca,27,5,77306f3e6060adf030a78e3c622b46997dd9cb4a8e23f87f04ac18d6acd6907e,488d05513801008b8828010000486bc978488b840888000000ffe0cccccccccc,"LEA RAX,[0x1a908]",JMP RAX
wave1,libSceAgcDriver,libSceAgcDriver-chunk-02.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,VOMSpd9+vxU,sceAgcDriverSetResourceUserData,function,defined_body,1,VOMSpd9+vxU#G#A,000072f0,Function,IMPORTED,000072f0,VOMSpd9+vxU#G#A,false,false,,,true,000072f0,000072f5,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-02.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,HF3YllT3mXU,sceAgcDriverSubmitMultiAcbs,function,defined_body,1,HF3YllT3mXU#G#A,00004df0,Function,IMPORTED,00004df0,HF3YllT3mXU#G#A,false,false,,,true,00004df0,00004e32,67,18,7b50a3be444326b634b521cf44839a5393e939661609325873a5042dab2382e9,83ff58721083c7a8488d04ff488d3ddd550100eb1383ff20721e83c7e0488d04,"CMP EDI,0x58",JMP 0x00004b10
wave1,libSceAgcDriver,libSceAgcDriver-chunk-02.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,Xq5WmbwPTnQ,sceAgcDriverTriggerCapture,function,defined_body,1,Xq5WmbwPTnQ#G#A,000080a0,Function,IMPORTED,000080a0,Xq5WmbwPTnQ#G#A,false,false,,,true,000080a0,000080a5,6,2,a45df15ac03ed51bc214fb03f5beecfc66b471bd491c2922752e8cec2509bad5,b800106c8ac3ccccccccccccccccccccb800106c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c1000",RET
wave1,libSceAgcDriver,libSceAgcDriver-chunk-02.result.tsv,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,SCoAN5fYlUM,sceAgcDriverUnregisterAllResourcesForOwner,function,defined_body,1,SCoAN5fYlUM#G#A,00007210,Function,IMPORTED,00007210,SCoAN5fYlUM#G#A,false,false,,,true,00007210,00007215,6,2,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,b818906c8ac3ccccccccccccccccccccb818906c8ac3cccccccccccccccccccc,"MOV EAX,0x8a6c9018",RET
