library,nid,catalog_name,provider,provider_sha256,ghidra_status,function_entry,function_name,body_sha256,instruction_count,include_for_prefer_lle,recommendation,reason,current_gen5_registration_count,current_prefer_lle,current_export_names,current_sources
libSceAgcDriver,rJUyMrDdxJg,sceAgcDriverGetShaderDebuggingStatus,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00006ef0,rJUyMrDdxJg#G#A,2db31f4e09597946e56e859813bfdad7046d457c32332c3a882654d1e3ffdf67,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,Ddwk4gLT5j0,sceAgcDriverIsCaptureInProgress,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000080d0,Ddwk4gLT5j0#G#A,251447ee91a9067dcd6ab96703133f617565974cd6c4819021760c4688c91abf,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,qspAL8bgcBY,sceAgcDriverIsSubmitValidationEnabled,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000080e0,qspAL8bgcBY#G#A,251447ee91a9067dcd6ab96703133f617565974cd6c4819021760c4688c91abf,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,+TN0oRTBxJQ,sceAgcDriverIsTraceInProgress,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00006ee0,+TN0oRTBxJQ#G#A,251447ee91a9067dcd6ab96703133f617565974cd6c4819021760c4688c91abf,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,emP3ckeS2uo,sceAgcDriverRegisterGdsResource,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000071e0,emP3ckeS2uo#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,3AyTaWcF-H8,sceAgcDriverRegisterWorkloadStream,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,00000b00,3AyTaWcF-H8#G#A,8d53f23672a0e68cfa2f0225d6e34f5f65e3b7beade9f7ca05b020ba2a70ad28,45,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,SAfhzJPcjuk,sceAgcDriverRequestCaptureStart,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000080b0,SAfhzJPcjuk#G#A,a45df15ac03ed51bc214fb03f5beecfc66b471bd491c2922752e8cec2509bad5,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,FOwvmNlFLjM,sceAgcDriverRequestCaptureStop,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000080c0,FOwvmNlFLjM#G#A,a45df15ac03ed51bc214fb03f5beecfc66b471bd491c2922752e8cec2509bad5,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAgcDriver,MM4IZSEYytQ,sceAgcDriverSetHsOffchipParam,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000070b0,MM4IZSEYytQ#G#A,77306f3e6060adf030a78e3c622b46997dd9cb4a8e23f87f04ac18d6acd6907e,5,true,set_prefer_lle_on_existing_gen5_registration,Ghidra resolved an executable provider body; mark the exact existing Gen5 registration PreferLle.,1,false,sceAgcDriverSetHsOffchipParam,src/SharpEmu.Libs/Agc/AgcExports.cs:3478
libSceAgcDriver,VOMSpd9+vxU,sceAgcDriverSetResourceUserData,libSceAgcDriver.sprx,bc2ca28f3632ce69e25ab44991ed1f49bc1624fe39c2fc81f2efc6e705876348,defined_body,000072f0,VOMSpd9+vxU#G#A,77cc740e58cbe670a62774638598d2b8b56a7a098b2cf25bcd7a0e8a8ecb12f8,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
