component,nid,catalog_symbol,module,library,provider,provider_sha256,ghidra_status,symbol_name,symbol_address,function_entry,function_name,thunk,thunk_target,body_addresses,instruction_count,body_sha256,entry_bytes,result_file,result_sha256,log_file,log_sha256,prefer_lle_safe,decision,semantic_hle_required_for_registration,semantic_hle_contract_if_provider_absent,semantic_hle_priority,semantic_hle_evidence_state
Http,YuOW3dDAKYc,sceHttpUriEscape,libSceHttp,libSceHttp,libSceHttp.sprx,fdb6ddc34e9d8c566421511c693294ca93ab1636f797f8fc705588b678fb1f6a,defined_body,YuOW3dDAKYc#I#A,00020f90,00020f90,YuOW3dDAKYc#I#A,false,,298,88,923946f24727978a8a51412886c5207fab3be525194ada69bcc282e0fb49d419,554889e5415741564155415453504989f84989ccb8fe114380488975d04909f0,06-Http.result.tsv,100f662652231156eb8971b962536636079fec9386a43f1018d70431c13c455f,audit-06-Http.log,971ffda430ddc51cd9607479a9fac6d1c4974d76fc4a782532c8366e73616e8a,true,include_gen5_prefer_lle,false,required,medium_buffer_transform,definition-only; deeper provider/caller ABI and state contract not yet proven
Ime,PMVehSlfZ94,sceImeKeyboardClose,libSceIme,libSceIme,libSceIme.sprx,a9fb46b1809ab3f849b82b98b23c273b28e4794a4380185c3dcc472f06ec446e,defined_body,PMVehSlfZ94#G#A,00005590,00005590,PMVehSlfZ94#G#A,false,,377,96,e92a81f9970e7bd9f82ef3a38a3108ad59b0ed1c1263f2480dc708633e1eb408,554889e5415741565350488b1d47ab0300488b0548ab03004839c374150f1f00,07-Ime.result.tsv,a444a2b1d1226c3d583034e8be24ad21e5bed5b9d369fb3f3f86082845de590e,audit-07-Ime.log,dc82d4538f1d2dcd2f486e367cb62548be0b77fb33c8e27827bb261614ecaa3f,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
NpTrophy2,EwNylPdWUTM,sceNpTrophy2GetTrophyInfo,libSceNpTrophy2,libSceNpTrophy2,libSceNpTrophy2.sprx,fa81a4a54680504dbed9abe582c5a2b36d4279d4fd5d85e118018e1305c96106,defined_body,EwNylPdWUTM#F#A,00001970,00001970,EwNylPdWUTM#F#A,false,,739,176,2ef5d335ef10fea1b164401ff5449d28e6da667273d21a5251cab3ca10f5060a,554889e54157415641554154534881ec98050000488b05252801004c898548fa,08-NpTrophy2.result.tsv,c4c090cd6cc15230b840cd12338b0d25fed285d6fd87ff71cfc213f1e94899a4,audit-08-NpTrophy2.log,a4964050a04a2002307c3411d59f5910a6ceee7fd1fb5ceefd8e369a700d0588,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
Pad,rIZnR6eSpvk,scePadResetOrientation,libScePad,libScePad,libScePad.sprx,9396eb7947760db43eec22be66cc40f2a5e999be09645412cb92020b1e9dfe34,defined_body,rIZnR6eSpvk#D#A,00003da0,00003da0,rIZnR6eSpvk#D#A,false,,7,2,a4314ff92139f9e4a1653c715a64a75663bbf5870fdb8faadbd45542c42cbf59,31f6e909000000cccccccccccccccccc554889e5415741564154534883ec204c,09-Pad.result.tsv,c0e0400503c466417e2b4ace8ea599fee80ca5599b1e012648ae94c3394eac4b,audit-09-Pad.log,0e440bb3f175f428b5e56ca7910107755bc5bb619d5f87c83284d7de5a122cd1,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
PlayerSelectionDialog,CgdJ1PkIsE4,scePlayerSelectionDialogTerminate,libScePlayerSelectionDialog,libScePlayerSelectionDialog,libScePlayerSelectionDialog.sprx,c2e61df112cf0a0b2405de812d7c0d9ae22cd1094a6531d5087703c0f4baacc6,defined_body,CgdJ1PkIsE4#F#A,00000720,00000720,CgdJ1PkIsE4#F#A,false,,77,22,c16dd42d54fe7cfb5ac98638e0d04ca49b570579375dfb155c2a6aa18013fc08,554889e55350488d3debb80000e82e020000488b3de7b800004885ff7415488b,10-PlayerSelectionDialog.result.tsv,ce0590cd03f2aa0211e691256eeb121e893960ee16ed4337672f5ee4c47d835f,audit-10-PlayerSelectionDialog.log,7f8481f4ad78075fc521667a842a6fe6ac17c9a1b534d3da6ddb94b834a45e67,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
Random,PI7jIZj4pcE,sceRandomGetRandomNumber,libSceRandom,libSceRandom,libSceRandom.sprx,4af0ac1f1dc40c45a267a13f623e87080bf11cdedc210c1062e474d59b98b8fd,defined_body,PI7jIZj4pcE#C#A,000000d0,000000d0,PI7jIZj4pcE#C#A,false,,434,118,02911bf6f15283438804e9fbbaf952783a95386adde501acfae5a4cafe5e390f,554889e54157415641554154534883ec684c8b2d287f00004889f34989fe498b,11-Random.result.tsv,a3c9c17537f1fc852301be1b51e0baafd5835f99364abc4355b2556303ba4ad2,audit-11-Random.log,ffd8da2173a3b6f5ace352cb578dd0b90181375f124c85f396e5bf0bce578a7d,true,include_gen5_prefer_lle,false,required,medium_output_buffer,definition-only; deeper provider/caller ABI and state contract not yet proven
RazorCpu,9FowWFMEIM8,sceRazorCpuJobManagerSequence,libSceRazorCpu,libSceRazorCpu,libSceRazorCpu.sprx,3f7958cd6c115830ebd151ef3d5daf0bdd898dd89e93c5612d8f7546d9254fe9,defined_body,9FowWFMEIM8#C#A,00006e00,00006e00,9FowWFMEIM8#C#A,false,,1264,331,55c1837b78f85f92f6e6f77a0ef9f3e5b5eec021a164e258bdc6d4db6731dc1a,554889e54157415641554154534883ec484189cf488b0dfd9100004531f6488b,12-RazorCpu.result.tsv,351b4ff860da48e636ace7a44513d8d1ff4113b4aec9d81565bae11de07b62fd,audit-12-RazorCpu.log,20ea150c474fdfccea6d2ce079495bec5d3aa1d7883af89762c0bc694c8c716b,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
RazorCpu,KP+TBWGHlgs,sceRazorCpuJobManagerJob,libSceRazorCpu,libSceRazorCpu,libSceRazorCpu.sprx,3f7958cd6c115830ebd151ef3d5daf0bdd898dd89e93c5612d8f7546d9254fe9,defined_body,KP+TBWGHlgs#C#A,00007810,00007810,KP+TBWGHlgs#C#A,false,,1206,315,63ff4d717d0b7efa6c38ad656950550e5f34be800fe3095c40fa0f2fcae68106,554889e54157415641554154534883ec584c8b25f08700004531ff498b042448,12-RazorCpu.result.tsv,351b4ff860da48e636ace7a44513d8d1ff4113b4aec9d81565bae11de07b62fd,audit-12-RazorCpu.log,20ea150c474fdfccea6d2ce079495bec5d3aa1d7883af89762c0bc694c8c716b,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
RazorCpu,dnEdyY4+klQ,sceRazorCpuJobManagerDispatch,libSceRazorCpu,libSceRazorCpu,libSceRazorCpu.sprx,3f7958cd6c115830ebd151ef3d5daf0bdd898dd89e93c5612d8f7546d9254fe9,defined_body,dnEdyY4+klQ#C#A,000072f0,000072f0,dnEdyY4+klQ#C#A,false,,1312,334,0ba5c62e3f8f8ba9092759919b1d3ce167bf64b4e3851c6f1ae5d5b993b90130,554889e54157415641554154534883ec684989fe488b3d0d8d00004531e4488b,12-RazorCpu.result.tsv,351b4ff860da48e636ace7a44513d8d1ff4113b4aec9d81565bae11de07b62fd,audit-12-RazorCpu.log,20ea150c474fdfccea6d2ce079495bec5d3aa1d7883af89762c0bc694c8c716b,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
Sysmodule,4fU5yvOkVG4,sceSysmoduleGetModuleInfoForUnwind,libSceSysmodule,libSceSysmodule,libSceSysmodule.sprx,ba80a6c669e034fae536f3ef97eda3704c658a56989be126a2e6086a3af83711,defined_body,4fU5yvOkVG4#C#A,00000c90,00000c90,4fU5yvOkVG4#C#A,false,,122,35,97d35719e29be3825e6a8230c3eba8642ce80f0d2494f65747ce82bcde6a8b31,554889e54156534889d3e8919a00004189c685c0755c4883c308e8f199000048,13-Sysmodule.result.tsv,ce9cff7cfe29c3aeb0c4a93c112acf586473294b7b1693a9fb9b2bf41de21521,audit-13-Sysmodule.log,b9e0f62a2f7ec2bdb8b1f8278942e607bd689ed6aef6dc46cab76d532f780fb1,true,include_gen5_prefer_lle,false,required,medium_metadata_query,definition-only; deeper provider/caller ABI and state contract not yet proven
UlObjMgr,BG26hBGiNlw,_sceUlobjmgrRegisterObject,ulobjmgr,ulobjmgr,ulobjmgr.sprx,82ee954d51f7d3eb9015b96bf4afcbb9f00ffff51afd99baaad5d90451f1b2a8,defined_body,BG26hBGiNlw#C#A,00000140,00000140,BG26hBGiNlw#C#A,false,,114,38,e024157704ed2ba5cb00e864d03adee36c6cdcce87310944fcdf22c25f018ab5,b81600000085f67468554889e54157415653504989ff4885ff744c4989d64885,14-UlObjMgr.result.tsv,cbcef2233cdcb37289ae6131beb38d813205a79f72696e65d2faf58b10f30c47,audit-14-UlObjMgr.log,d6b2a598e3f2cd7f91574c48508f1e6efcaeaab11ecadd2ddfb6316dcdb880b7,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
UlObjMgr,Smf+fUNblPc,_sceUlobjmgrUnregisterObject,ulobjmgr,ulobjmgr,ulobjmgr.sprx,82ee954d51f7d3eb9015b96bf4afcbb9f00ffff51afd99baaad5d90451f1b2a8,defined_body,Smf+fUNblPc#C#A,000001c0,000001c0,Smf+fUNblPc#C#A,false,,44,11,2223f780e0ec6634e200ca0d58e56c7e076ba9f0f488d3752a414f53d051d6d4,488b0551be0000397808761a89f989fe66c744c82000000faef0488b3d37be00,14-UlObjMgr.result.tsv,cbcef2233cdcb37289ae6131beb38d813205a79f72696e65d2faf58b10f30c47,audit-14-UlObjMgr.log,d6b2a598e3f2cd7f91574c48508f1e6efcaeaab11ecadd2ddfb6316dcdb880b7,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
VideoOut,HuViW4HnrOw,sceVideoOutSubmitChangeBufferAttribute2,libSceVideoOut,libSceVideoOut,libSceVideoOut.sprx,c1a1b5647a29d5d114fccbfe45487c6712e3f06ebadb78d52e5ccf5604e83412,defined_body,HuViW4HnrOw#I#A,000111e0,000111e0,HuViW4HnrOw#I#A,false,,170,55,918ec0083152e027fde6698c105c8bea196c6bcde24ad9db3cd6dff1a90a6782,554889e5415741564154534885d274524189f431f64989ce4989d7e8402a0000,15-VideoOut.result.tsv,7475f918ff71128a09cbea2a9fbab5f0ebe3790e2f021b7e94970dd526ec8476,audit-15-VideoOut.log,9fe61134426119562f351bedb57351430170604af9391c22aab505274a73b563,true,include_gen5_prefer_lle,false,required,high_stateful,definition-only; deeper provider/caller ABI and state contract not yet proven
